CAMPINAS;CAMPINAS;BRAGANÇA;Socorro;1;1;1;2;5;23;21;35;84;82;69;140;84;548
SOROCABA;SOROCABA;SOROCABA;Sorocaba;28;45;84;167;187;301;454;561;736;870;1274;1843;1146;7696
ARAÇATUBA;ARACATUBA;LAGOS DO DRS II;Sud Mennucci;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAMPINAS;CAMPINAS;REG METRO CAMPINAS;Sumaré;11;15;24;34;39;56;86;125;141;233;302;287;201;1554
GRANDE SÃO PAULO;MOGI DAS CRUZES;ALTO DO TIETÊ;Suzano;17;43;86;172;182;260;299;306;316;346;254;186;76;2543
ARAÇATUBA;ARACATUBA;LAGOS DO DRS II;Suzanápolis;0;0;0;0;0;0;0;0;0;0;0;2;0;2
SÃO JOSÉ DO RIO PRETO;SAO JOSE DO RIO PRETO;CATANDUVA;Tabapuã;1;3;11;13;18;12;28;33;34;50;45;54;25;327
ARARAQUARA;ARARAQUARA;NOROESTE DRS III;Tabatinga;0;0;1;3;2;1;0;1;4;7;4;2;0;25
GRANDE SÃO PAULO;OSASCO;MANANCIAIS;Taboão da Serra;3;2;4;4;11;21;10;21;27;27;37;38;41;246
PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;ALTA SOROCABANA;Taciba;0;0;0;2;1;0;0;0;0;0;0;0;0;3
BAURU;BOTUCATU;VALE DO JURUMIRIM;Taguaí;0;0;0;0;2;9;10;75;51;111;164;212;190;824
BARRETOS;BARRETOS;SUL-BARRETOS;Taiaçu;0;0;0;2;2;1;0;2;3;2;1;1;1;15
BARRETOS;BARRETOS;SUL-BARRETOS;Taiúva;0;0;0;4;0;0;2;6;4;10;3;2;3;34
SÃO JOÃO DA BOA VISTA;SAO JOAO DA BOA VISTA;MANTIQUEIRA;Tambaú;0;2;4;14;21;20;43;58;71;90;127;109;134;693
SÃO JOSÉ DO RIO PRETO;SAO JOSE DO RIO PRETO;SÃO JOSÉ DO RIO PRETO;Tanabi;1;1;3;2;3;4;4;5;1;0;3;3;1;31
SOROCABA;SOROCABA;SOROCABA;Tapiraí;0;0;0;0;0;0;0;0;0;0;0;0;1;1
SÃO JOÃO DA BOA VISTA;SAO JOAO DA BOA VISTA;RIO PARDO;Tapiratiba;1;0;1;16;14;11;30;31;31;82;72;121;121;531
BARRETOS;BARRETOS;SUL-BARRETOS;Taquaral;2;0;2;1;3;1;6;4;7;4;11;9;4;54
ARARAQUARA;ARARAQUARA;NOROESTE DRS III;Taquaritinga;1;1;0;2;1;0;1;3;10;3;0;1;1;24
BAURU;BOTUCATU;VALE DO JURUMIRIM;Taquarituba;0;0;0;0;0;0;0;0;2;2;6;4;16;30
SOROCABA;ITAPEVA;ITAPEVA;Taquarivaí;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;ALTA SOROCABANA;Tarabaí;0;0;0;0;0;0;1;2;1;1;0;0;1;6
MARÍLIA;ASSIS;ASSIS;Tarumã;4;7;10;22;19;37;35;29;43;19;16;11;10;262
SOROCABA;SOROCABA;ITAPETININGA;Tatuí;0;0;1;4;2;0;5;3;4;3;10;15;18;65
TAUBATÉ;TAUBATE;V. PARAÍBA-REG. SERRANA;Taubaté;103;164;261;485;471;526;544;715;993;401;222;114;46;5045
BAURU;BOTUCATU;VALE DO JURUMIRIM;Tejupá;0;0;0;0;0;0;0;0;0;0;0;0;2;2
PRESIDENTE PRUDENTE;PRESIDENTE VENCESLAU;PONTAL DO PARANAPANEMA;Teodoro Sampaio;0;0;0;0;0;1;0;0;1;0;1;0;0;3
BARRETOS;BARRETOS;SUL-BARRETOS;Terra Roxa;0;0;0;0;10;4;4;2;1;0;3;1;0;25
SOROCABA;SOROCABA;SOROCABA;Tietê;0;0;0;1;7;1;3;14;11;20;36;35;38;166
MARÍLIA;ASSIS;OURINHOS;Timburi;0;0;0;0;0;0;1;0;1;0;0;0;3;5
BAURU;BOTUCATU;POLO CUESTA;Torre de Pedra;0;0;0;0;0;0;0;0;0;0;0;1;0;1
BAURU;BAURU;JAU;Torrinha;0;0;0;0;2;1;4;10;2;20;34;32;6;111
ARARAQUARA;ARARAQUARA;CENTRAL DO DRS III;Trabiju;0;1;0;0;1;1;0;0;1;0;0;2;0;6
TAUBATÉ;TAUBATE;V. PARAÍBA-REG. SERRANA;Tremembé;47;58;116;180;212;234;312;242;168;131;125;69;43;1937
SÃO JOSÉ DO RIO PRETO;JALES;SANTA FÉ DO SUL;Três Fronteiras;0;0;0;0;0;0;0;0;0;1;0;0;1;2
CAMPINAS;CAMPINAS;BRAGANÇA;Tuiuti;0;0;1;0;0;3;3;4;2;6;4;8;6;37
MARÍLIA;MARILIA;TUPÃ;Tupã;5;4;9;10;14;17;18;34;33;27;37;33;31;272
PRESIDENTE PRUDENTE;PRESIDENTE VENCESLAU;ALTA PAULISTA;Tupi Paulista;0;1;2;1;2;6;7;5;7;4;3;3;0;41
ARAÇATUBA;ARACATUBA;CONSÓRCIOS DO DRS II;Turiúba;0;0;1;0;1;0;0;0;0;0;0;0;0;2
SÃO JOSÉ DO RIO PRETO;JALES;FERNANDÓPOLIS;Turmalina;0;0;0;1;0;0;2;0;1;1;0;0;0;5
SÃO JOSÉ DO RIO PRETO;SAO JOSE DO RIO PRETO;JOSÉ BONIFÁCIO;Ubarana;0;0;0;0;0;1;1;0;0;1;0;2;1;6
TAUBATÉ;CARAGUATATUBA;LITORAL NORTE;Ubatuba;86;65;110;98;127;179;206;250;360;448;479;241;186;2835
MARÍLIA;MARILIA;MARÍLIA;Ubirajara;0;0;0;0;0;0;0;1;4;3;5;7;2;22
